[0424/093627:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/103039:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/103416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/114454:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/114948:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/115532:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/115824:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/120202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/122522:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/123358:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/123703:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/124703:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/125324:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/125939:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/131217:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/131327:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/131541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/131849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/141411:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/142326:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/143356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/143618:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/144012:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/144226:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/154215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/154837:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/160748:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/161452:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/162914:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0424/172356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/102547:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/104130:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/110010:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/111932:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/112500:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/112901:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0425/113145:ERROR:file_io.cc(30)] read: expected 4, observed 0
